,2_1 - Inside Sales - Sales Insight
Forecast__c-Forecast Layout,recordType=Forecast__c.RVP_Forecast
Forecast__c-Forecast Layout,recordType=Forecast__c.AD_VP
Forecast__c-Forecast Layout,recordType=
GSS_Account_Team_Recon_Records__c-GSS Account Team Recon Records Layout,recordType=
GSS_Approval_Error__c-GSS Approval Error Layout,recordType=
GSS_Approval_Flow__c-GSS Approval Flow Layout,recordType=
GSS_Index__c-GSS Index Layout,recordType=
GSS_Split_Error__c-GSS Split Error Layout,recordType=
GSS_Split__c-GSS Split Layout,recordType=
Global-Global Layout,recordType=
Goal_Letter_Error__c-Goal Letter Error Layout,recordType=
Goal_Letter_Participant__c-Goal Letter Participant Layout,recordType=
Goal_Letter__c-Goal Letter Layout,recordType=Goal_Letter__c.GL
Goal_Letter__c-Goal Letter Layout,recordType=
How_To__kav-How To Layout,recordType=
IPCA_Approvers__c-IPCA Approvers Layout,recordType=
IPCA_Deliverable__c-IPCA Deliverable Layout,recordType=
IPCA_Delivery__c-IPCA Delivery Layout,recordType=
IPCA_Milestone__c-IPCA Milestone Layout,recordType=
IPCA_ThirdParty__c-IPCA ThirdParty Layout,recordType=
IP_Config_Feature__c-IP Config Feature Layout,recordType=
IP_Config__c-IP Config Layout,recordType=
Idea-Idea Layout,recordType=
Installed_Product_History__c-Installed Product History Layout,recordType=
Integration__c-Integration Layout,recordType=
Intel_Runda_30_Day_Email_Log__c-Intel Runda 30 Day Email Log Layout,recordType=
Intel_Signed_Document__c-Intel Signed Document Layout,recordType=
Interim_Registration__c-Interim Registration Layout,recordType=
Issue__c-Issue Layout,recordType=
JIRA_Association__c-TIP-JIRA Layout,recordType=
Language_Code__c-Language Code Layout,recordType=
Lead-Lead Layout Marketo Sales Insight,recordType=
Legal_Commitment__c-Legal Commitment Layout,recordType=
Legal_Commitment_to_Opportunity_JUNC__c-Legal Commitment to Opportunity JUNC Layout,recordType=
Library_Dup__c-Library Dup Layout,recordType=
License__c-License Layout,recordType=
Loan__c-Loan Layout,recordType=
Macro-Macro Layout,recordType=
Manual_Config__c-Manual_Config Layout,recordType=
Manuals__c-Manual Layout,recordType=
Merge_Job_Failure_Log__c-Merge Job Failure Log Layout,recordType=
Mfg_Release_Platforms__c-Mfg_Release_Platform Layout,recordType=
Microsite_URL_Map__c-Microsite URL Map Layout,recordType=
Migration_Dependency__c-Migration Dependency Layout,recordType=
Migration_Error_Detail__c-Migration Error Detail Layout,recordType=
Migration_Error__c-Migration Error Layout,recordType=
Migration_Intelligence_Master__c-Migration Intelligence Master Layout,recordType=
Migration_Statistics_Line_Items__c-Migration Statistics Line Items Layout,recordType=
Migration_Statistics__c-Migration Statistics Layout,recordType=Migration_Statistics__c.Migration
Migration_Statistics__c-Migration Statistics Layout,recordType=
NDA_ARM_Cadence_Authorized_Employees__c-NDA ARM Cadence Authorized Employees Layout,recordType=
NDA_ARM_TRS_Cadence_Authorized_Employees__c-NDA ARM TRS Cadence Authorized Employees Layout,recordType=
NDA_Agreement_User_Detail__c-NDA Agreement User Detail Layout,recordType=
NDA_RUNDA_Cadence_Authorized_Employees__c-NDA RUNDA Cadence Authorized Employees Layout,recordType=
NDA_RUNDA_Cadence_Employees_Refrigerated__c-NDA RUNDA Cadence Employees Refrigerated Layout,recordType=
NDA_SNPS_Cadence_Authorized_Employees__c-NDA SNPS Cadence Authorized Employees Layout,recordType=
NHM_Aliases__c-NHM_Aliases Layout,recordType=
NHM_Available_Space__c-NHM_Available_Space Layout,recordType=
NHM_Building__c-NHM_Building Layout,recordType=
NHM_Floor__c-NHM_Floor Layout,recordType=
NHM_Master__c-NHM_Master Layout,recordType=
NWR_Assignment_Structure__c-NWR Assignment Structure Layout,recordType=
Note__c-Note Layout,recordType=
OM_Other_Product__c-OM Other Product Layout,recordType=
OM_Other__c-OM Other Layout,recordType=OM_Other__c.Royalty_VAR
OM_Other__c-OM Other Layout,recordType=OM_Other__c.Royalty_IP
OM_Other__c-OM Other Layout,recordType=OM_Other__c.Invoice_Request
OM_Other__c-OM Other Layout,recordType=OM_Other__c.Chip_Estimate
OM_Other__c-OM Other Layout,recordType=
Opp_TT_combination__mdt-Opp TT combination Layout,recordType=
Opportunity-Cadence Opportunity,recordType=
Opportunity-Opportunity IP,recordType=Opportunity.IP
Opportunity-Opportunity Main,recordType=Opportunity.SW_HW
OpportunityLineItem-Opportunity Product Layout,recordType=
Opportunity_Category__c-Opportunity Category Layout,recordType=
Opportunity_Snapshot__c-Opportunity Snapshot Layout,recordType=
Order_Checklist__c-99-Yr%2FOther Order checklist Layout,recordType=Order_Checklist__c.X99_Yr_Other
Order_Checklist__c-99-Yr%2FOther Order checklist Layout,recordType=
