,2_1 - Inside Sales - Sales Insight
Account_Master__c.IsActive__c,editable=true/readable=true
Account_Master__c.OPS_Index__c,editable=true/readable=true
Account_Master__c.OPS_Name__c,editable=true/readable=true
Account_Master__c.Row_Id__c,editable=true/readable=true
Account_Sites__c.Account__c,editable=true/readable=true
Account_Sites__c.Address__c,editable=false/readable=true
Account_Sites__c.Channel_Type__c,editable=false/readable=true
Account_Sites__c.City__c,editable=false/readable=true
Account_Sites__c.Country__c,editable=false/readable=true
Account_Sites__c.Create_Opportunity__c,editable=false/readable=true
Account_Sites__c.Full_Address__c,editable=false/readable=true
Account_Sites__c.SAP_ID__c,editable=false/readable=true
Account_Sites__c.State__c,editable=false/readable=true
Account_Sites__c.Status__c,editable=false/readable=true
Account_Sites__c.UniqueId__c,editable=false/readable=false
Account_Sites__c.Zip_Code__c,editable=false/readable=true
Account_Team__c.Account_Access__c,editable=true/readable=true
Account_Team__c.Case_Access__c,editable=true/readable=true
Account_Team__c.Contact_Access__c,editable=true/readable=true
Account_Team__c.Integration_Flag__c,editable=true/readable=true
Account_Team__c.Opportunity_Access__c,editable=true/readable=true
Account_Team__c.Platform__c,editable=true/readable=true
Account_Team__c.Related_Account_Team_Native__c,editable=true/readable=true
Account_Team__c.Source__c,editable=true/readable=true
Account_Team__c.Team_Role__c,editable=true/readable=true
Account_Team__c.Territory_Code__c,editable=true/readable=true
Account_Team__c.User__c,editable=true/readable=true
Advanced_Support_Groups__c.Active__c,editable=true/readable=true
Advanced_Support_Groups__c.All_Products__c,editable=true/readable=true
Advanced_Support_Groups__c.CSC__c,editable=true/readable=true
Advanced_Support_Groups__c.Chatter_Group__c,editable=true/readable=true
Advanced_Support_Groups__c.External_Id__c,editable=true/readable=true
Advanced_Support_Groups__c.Queue__c,editable=true/readable=true
Agreement__c.Data_Sync_Remark__c,editable=true/readable=true
Agreement__c.Data_Sync_Status__c,editable=true/readable=true
Agreement__c.Data_Sync_Time__c,editable=true/readable=true
Agreement__c.Description__c,editable=true/readable=true
Agreement__c.Row_Id__c,editable=true/readable=true
Alert_Detail__c.Article__c,editable=false/readable=false
Alert_Detail__c.HostIDRefKey_End_Date__c,editable=false/readable=false
Alert_Detail__c.HostId_Refkey_Title__c,editable=false/readable=false
Alert_Detail__c.Is_Deleted__c,editable=false/readable=false
Alert_Detail__c.Mark_As_Read__c,editable=false/readable=false
Alert_Detail__c.Mfg_Release_Platform__c,editable=false/readable=false
Alert_Detail__c.isHostIDAlert__c,editable=false/readable=false
Alert__c.Default_Page_Number__c,editable=false/readable=false
Alert__c.Migration_ID__c,editable=true/readable=true
Alert__c.Total_Unread_Alert__c,editable=false/readable=false
Alert__c.User__c,editable=false/readable=false
Approval_Hierarchy__c.Approving_AD__c,editable=true/readable=true
Approval_Hierarchy__c.Approving_CFO_Controller__c,editable=true/readable=true
Approval_Hierarchy__c.Approving_HQ_SF__c,editable=true/readable=true
Approval_Hierarchy__c.Approving_HQ__c,editable=true/readable=true
Approval_Hierarchy__c.Approving_RSF__c,editable=true/readable=true
Approval_Hierarchy__c.Approving_RVP__c,editable=true/readable=true
Approval_Hierarchy__c.Approving_Reg_Sales_Ops__c,editable=true/readable=true
Approval_Hierarchy__c.Approving_SF__c,editable=true/readable=true
Approval_Hierarchy__c.Approving_VP__c,editable=true/readable=true
Approval_Hierarchy__c.Employee_Name_Text__c,editable=true/readable=true
Approval_Hierarchy__c.Employee_Name__c,editable=true/readable=true
Approval_Hierarchy__c.HQ_Admin__c,editable=true/readable=true
Approval_Hierarchy__c.SAM_Altos_Admin__c,editable=true/readable=true
Approval_Hierarchy__c.SAM_Azuro_Admin__c,editable=true/readable=true
Approval_Hierarchy__c.SAM_Sigirity_Admin__c,editable=true/readable=true
Approval_Hierarchy__c.SaaS_Admin__c,editable=true/readable=true
Approval_Hierarchy__c.Status__c,editable=true/readable=true
Approval_Hierarchy__c.Temp_Key_WW__c,editable=true/readable=true
Approval_Hierarchy__c.VIP_IP_Asia_Pacific_Admin__c,editable=true/readable=true
Approval_Hierarchy__c.VIP_IP_EMEA_Israel_Admin__c,editable=true/readable=true
Approval_Hierarchy__c.VIP_IP_EMEA_Non_Israel_Admin__c,editable=true/readable=true
Approval_Hierarchy__c.VIP_IP_India_Admin__c,editable=true/readable=true
Approval_Hierarchy__c.VIP_IP_Japan_Admin__c,editable=true/readable=true
Approval_Hierarchy__c.VIP_IP_North_America_Admin__c,editable=true/readable=true
Apttus_Agreement_Assignment_Rule__c.Active__c,editable=false/readable=false
Apttus_Agreement_Assignment_Rule__c.Assign_to__c,editable=false/readable=false
Apttus_Agreement_Assignment_Rule__c.Rule_Description__c,editable=false/readable=false
Apttus_LWR_assignment_Rule_condition__c.Active__c,editable=false/readable=false
Apttus_LWR_assignment_Rule_condition__c.Apttus_Join__c,editable=false/readable=false
Apttus_LWR_assignment_Rule_condition__c.Apttus_Operator__c,editable=false/readable=false
Apttus_LWR_assignment_Rule_condition__c.Description__c,editable=false/readable=false
Apttus_LWR_assignment_Rule_condition__c.Relation_Field__c,editable=false/readable=false
Apttus_Release_Approver__c.Agreement_Line_Item__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_10__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_11__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_12__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_13__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_14__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_15__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_1__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_2__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_3__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_4__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_5__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_6__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_7__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_8__c,editable=true/readable=true
Apttus_Release_Approver__c.Approver_9__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Account_Sites2__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Account_Sites3__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Account_Sites__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Agreement_License_Terms__c,editable=false/readable=true
Apttus__APTS_Agreement__c.APTPS_Agreement_Nature__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Agreement_Title__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Agreement_Type__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Approval_Hierarchy__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Beta_Software_Support_Option__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Approval_Legal__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Approval_Marketing_Alliance__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Approval_Software_Sales_Finan__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Approval_Software_Sales_Messa__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Beta_Approver_Emails__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Beta_Approver__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Cadence_Entity__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Competitor__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Disable_Generate_Button__c,editable=false/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Fully_Signed__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Installation_Support_Duration__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Is_it_a_Beta_request__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Notice_Price_Book_Name__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Notice_Price_Book_Number__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Notice_Royalty_Bearing__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Notice_Third_Party_Arrangemen__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Notice_Third_Party_Products__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Notice_VIP__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Parent_Account_Name__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Product_Origin_Text__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Requesters_Rep_VP__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Requires_Beta_Approval__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Requires_Non_WFO_Sales_Financ__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_SW_Loan_Purpose_Guidance__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_SW_Loan_Purpose__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Signatory_Title__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_CLLA_Signatory__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Cancel_Approvals__c,editable=false/readable=true
Apttus__APTS_Agreement__c.APTPS_Customer_signing_entity_address__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_DIP_customer_engineer_email__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_DIP_customer_legal_contact_email__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_DIP_released_type__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Delivery_Of_Source_Code__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Detail_of_Other_Purpose__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Details_of_Assistance__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Document_Uploaded__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Draft__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Enter_Account_Manager__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Enter_Duration_of_Support_in_weeks__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Enter_Duration_of_Training_hours__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Enter_PO_number__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Enter_Primary_Contact_Email__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Export_Restricted__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_FF_Activate_NDA__c,editable=false/readable=true
Apttus__APTS_Agreement__c.APTPS_FF_Activate__c,editable=false/readable=true
Apttus__APTS_Agreement__c.APTPS_Generate__c,editable=false/readable=true
Apttus__APTS_Agreement__c.APTPS_Has_customer_previously_loaned__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Host_ID__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_IP_Product_Origin__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_IS_Patent_Application__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_IS_Production_Use__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Identify_business_purpose_of_loan__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_IsCLLAMaster__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Is_this_a_loan_extension__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_License_Fulfillment_Owner__c,editable=false/readable=true
Apttus__APTS_Agreement__c.APTPS_License_Request_Type__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_License_file__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Master_Agreement__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Method_of_Cadence_support__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_More_Than_180_Days__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_NA_Canada_approval_is_mandatory__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_NDA_Continuing_Obligation__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_NDA_Is_Legacy_NDA__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_NDA_Purpose__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_NDA_Send_for_Signature__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_NDA_Special_Legal_Assistance__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_NDA_Taiwan_or_other_Asia_Pacific__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_NDA_Validate_Existing_NDA__c,editable=true/readable=true
Apttus__APTS_Agreement__c.APTPS_Not_Display_on_CLLA__c,editable=false/readable=false
