,2_1 - Inside Sales - Sales Insight
ProductSelectionPage,enabled=false
Product_Feature_Hirerarchy,enabled=true
ProjectAttachment,enabled=false
QLI_Edit_All,enabled=true
QLI_Edit_Redirect,enabled=true
QueuedTaskAccept_VF,enabled=false
QueuedTaskTab,enabled=false
QuoteClone_VF,enabled=true
QuoteLineItem_VF,enabled=true
QuoteLineItemclone_VF,enabled=true
QuoteRecordType_VP,enabled=true
QuoteRoyaltyCriteria,enabled=true
QuoteRoyaltyCriteria_Redirect,enabled=true
QuotesEdit,enabled=true
QuotesNew,enabled=true
RefKeysContactsExportdata,enabled=false
ReferenceKeyDeletePage,enabled=false
ReferenceKeyList,enabled=false
ReferenceKeyListView,enabled=false
ReferenceKeyNewPage,enabled=false
ReferenceKeyUpdateLookupPage,enabled=false
ReferencekeyEditPage,enabled=false
Refrigerated_Employee_HelpText,enabled=false
RelatedArticleNew,enabled=false
RemedyforceImportCSV_VF,enabled=false
RemovePermissionSets,enabled=false
RenMaint,enabled=true
RenMaintAccount_Layout,enabled=true
RenMaint_Layout,enabled=true
RenMaint_System_Layout,enabled=true
RenewSchedulePage,enabled=true
ReportingLineVP,enabled=true
RequestPaymentTerm,enabled=true
Reset_MergeAssist_Flags,enabled=false
RestrictedEmployeeForm,enabled=true
RevertContentArticlePage,enabled=false
RundaHistory,enabled=false
RundaNoteAttach,enabled=false
RundaSignedPage,enabled=false
SKILLInformation,enabled=false
SNPS_End_Flow,enabled=true
SSGUserQueueOperation,enabled=false
SVMXC_InstalProdRelatedList,enabled=false
SVMXC_PartsOrderRelatedList,enabled=false
SVMXC_WorkOrderRelatedList,enabled=false
ScheduleEmailer,enabled=false
ScheduleInEffect,enabled=false
SchedulePrintableVersion,enabled=false
SearchAccountPopUp_VP,enabled=true
SearchPreferences,enabled=false
SelectContactForSurvey,enabled=true
SelectPrimaryPartner_VP,enabled=true
SendEmailPreProcess,enabled=true
SendFSREmailToOM,enabled=false
SendMailForAcknowledgementPage,enabled=false
SendScheduleToVendor,enabled=false
Send_GL_ForEsign,enabled=true
ServiceMaxConsoleForDeinstalledProducts,enabled=false
SetDefaultPage,enabled=true
ShowPopupMessage,enabled=false
SiteFileBrowser,enabled=false
SiteFileUploader,enabled=false
SiteLogin,enabled=false
SiteRegister,enabled=false
SiteRegisterConfirm,enabled=false
SiteTemplate,enabled=false
SoftwareUpdateAlerts,enabled=false
SolutionThankYou,enabled=false
SortQuoteLineItem_VF,enabled=true
StaticFeedbackPageValidate,enabled=false
StaticResourcePage,enabled=false
StdExceptionTemplate,enabled=false
SubClassDesc,enabled=false
SubmitNewPage,enabled=false
SubmitSolution,enabled=false
SubmitSolutionExternal,enabled=false
SubmitSolutionInternal,enabled=false
SupportNewsAll,enabled=false
TaskNewOverride_VF,enabled=true
TaskOwnerChange_VF,enabled=true
Thanks_page_for_solution,enabled=false
Thankyou_FB,enabled=false
Unauthorized,enabled=false
UnderConstruction,enabled=false
Unlink_CCR_VP,enabled=false
UpdateLockedBookingPackage_VP,enabled=false
UserAvailabiltyPage,enabled=false
User_SSO_Registeration,enabled=false
ValidateURL,enabled=false
Viewtag,enabled=false
WP_DocumentViewer,enabled=false
What_Im_Following,enabled=false
WorkDetail_VF,enabled=false
acctSample,enabled=true
addToFavoritePopup,enabled=false
cadenceLoginHostidRefkeyScreen,enabled=false
clone_button,enabled=true
cosMyFavoritesIframePage,enabled=false
cosMyFavoritesPage,enabled=false
createIPConfigContent,enabled=false
customQuoteOwnerLookup,enabled=true
custom_flagmergeassist,enabled=false
es,enabled=true
excel_Achievement_Report,enabled=false
excel_Global_Split_Credit_Report,enabled=false
generateIntelRundaExcelReport,enabled=false
generateIntelRundaReport,enabled=false
gss_split_report,enabled=false
myFavoritesJson,enabled=false
otherProductInArticlePage,enabled=false
platformPage,enabled=false
productDetailPage,enabled=false
productGroupConfiguration,enabled=true
productPageNew,enabled=false
productSectorConfiguration,enabled=true
salesOpsValidation,enabled=false
searchAccounts,enabled=true
send_support_email,enabled=true
survey,enabled=false
techpubDocViewerPage,enabled=false
weekly_Status,enabled=false
weekly_Status_PDF_export,enabled=false
