,2_1 - Inside Sales - Sales Insight
COSFeedbackEmailComments,enabled=false
COSHeaderController,enabled=false
COSMonthlyContentNotifications,enabled=false
COSMyAlertController,enabled=false
COSProjectDetailController,enabled=false
COSRecentOrdersController,enabled=false
COSSoftUpdateNotifications,enabled=false
COSSoftwareUpdateModuleHelper,enabled=false
COSUserPreferenceNotificationHelper,enabled=false
COSUserPreferenceNotifications,enabled=false
COSUserPreferenceNotificationsCCR,enabled=false
COSUserPreferenceNotificationsNewProd,enabled=false
COSUserPreferenceNotifyEmailTemplates,enabled=false
COSViewJIRAController,enabled=false
COSViewRequestController,enabled=false
COSWeeklyContentNotifications,enabled=false
CadenceAPIResponse,enabled=false
CadenceAccChangeValidationStatus,enabled=false
CadenceAccChangeValidationStatusSchelr,enabled=false
CadenceAccSetValidation,enabled=false
CadenceAccValidationEmailNotifier,enabled=false
CadenceAccValidationEmailNotifierSchedu,enabled=false
CadenceAcvalRequiredScreenController,enabled=false
CadenceAdmChngValidStatusscheduler,enabled=false
CadenceAdmSynInactiveUsersWithScheduler,enabled=false
CadenceAdminAccValidationEmail,enabled=false
CadenceAdminAccValidationEmailScheduler,enabled=false
CadenceAdminApprovalRejectController,enabled=false
CadenceAdminBulkLoadcontroller,enabled=false
CadenceAdminChangeValidationStatus,enabled=false
CadenceAdminController,enabled=false
CadenceAdminCreateUser,enabled=false
CadenceAdminExceptionpagecontroller,enabled=false
CadenceAdminInactivateUser,enabled=false
CadenceAdminRoleUpdate,enabled=false
CadenceAdminSendErrorLogsInMailToAdmin,enabled=false
CadenceAdminSendErrorLogsMailScheduler,enabled=false
CadenceAdminSyncInactiveUsersWithCOS,enabled=false
CadenceAdminUserCreation,enabled=false
CadenceAdminUserValidationController,enabled=false
CadenceAppAdminProfileController,enabled=false
CadenceAppPWDSQAcontroller,enabled=false
CadenceAppProfileController,enabled=false
CadenceApplicationFGPWDController,enabled=false
CadenceApplicationRegController,enabled=false
CadenceApplicationhostrefScreenCtrl,enabled=false
CadenceAssociateEntitlementController,enabled=false
CadenceChangeLoginBatchProcess,enabled=false
CadenceChangeLoginReminderEmail,enabled=false
CadenceChangeLoginReminderEmailscheduler,enabled=false
CadenceChangeLoginRequest,enabled=false
CadenceChangeLoginscheduler,enabled=false
CadenceCosLoginController,enabled=false
CadenceDMLLogServiceController,enabled=false
CadenceEmailTemplates,enabled=false
CadenceEmailValidation,enabled=false
CadenceForgotPassSQAScreenController,enabled=false
CadenceLoginController,enabled=false
CadenceLoginHostidRefkeyController,enabled=false
CadenceMyProfileController,enabled=false
CadenceMyProfileController1,enabled=false
CadenceRESTService,enabled=true
CadenceRedirectController,enabled=false
CadenceRegCompletionController,enabled=false
CadenceRegistrationRequiredController,enabled=false
CadenceReportCompDicrepancyURLController,enabled=false
CadenceRestCallOutHandler,enabled=false
CadenceRestCalloutUtil,enabled=false
CadenceSupportLoginController,enabled=true
CadenceTestMockHttpResponseGenerator,enabled=false
CadenceTestMockHttpResponseGenerator1,enabled=false
CadenceUserValidationscheduler,enabled=false
CadenceUtilityClass,enabled=false
CadenceWikiDomainController,enabled=false
CaseArticleController,enabled=false
CaseAssignmentEngine_AC,enabled=false
CaseAutoStateTransitionScheduler,enabled=true
CaseClass,enabled=false
CaseCloseBatchable_AC,enabled=false
CaseCommentExtension_AC,enabled=false
CaseCommentTriggerHandler_AC,enabled=false
CaseDelayBatchable_AC,enabled=false
CaseDelaySchedulable_AC,enabled=false
CaseEmailPublisherHelper_AC,enabled=false
CaseEmailPublisher_AC,enabled=false
CaseExpertChangeController,enabled=false
CaseGenerateFileController,enabled=false
CaseGroupHelper,enabled=false
CaseMassAddCSV_AC,enabled=false
CaseMassFieldsUpdate_AC,enabled=false
CaseMassUpdate_AC,enabled=false
CaseNotificationController,enabled=false
CaseProductEditController,enabled=false
CaseProductEditExtension,enabled=false
CaseReassignGCCAllegroBatchable_AC,enabled=false
CaseReassignGCCAllegroSchedular_AC,enabled=false
CaseReassignNoOwnerBatchable_AC,enabled=false
CaseReassignNoOwnerSchedulable_AC,enabled=false
CaseSSGCloseBatchable_AC,enabled=false
CaseSSGCloseSchedulable_AC,enabled=false
CaseSendEmailService_AC,enabled=false
CaseSubscriptionBatch,enabled=false
CaseSubscriptionCCEmailsBatch,enabled=false
CaseSubscriptionEditExtension,enabled=false
CaseSubscriptionTriggerHandler_AC,enabled=false
CaseTriggerHandlerMockGenerator,enabled=false
CaseTriggerHandler_AC,enabled=false
CaseUtill,enabled=false
CaseUtillTest,enabled=false
Case_CDSInfo_Extensions,enabled=false
Case_SendEmail_Controller,enabled=false
ChangeOppOwnerExt_AC,enabled=true
ChangePasswordController,enabled=false
ChatbotEmailToChatter,enabled=true
ChatterBox_AC,enabled=true
CheckUserAgent,enabled=false
CloseChildCasesTriggerHelper_AC,enabled=false
CollabrationGroupMemberController,enabled=false
CommunitiesLandingController,enabled=false
CommunitiesLandingControllerTest,enabled=false
CommunitiesLoginController,enabled=false
CommunitiesLoginControllerTest,enabled=false
CommunitiesSelfRegConfirmController,enabled=false
CommunitiesSelfRegConfirmControllerTest,enabled=false
CommunitiesSelfRegController,enabled=false
CommunitiesSelfRegControllerTest,enabled=false
CommunitySearchCls,enabled=false
ComponentCCMSFieldEditController,enabled=false
ComponentLevelTrackingController_AC,enabled=false
